wave_vac,wave_err,wn,int,wave_vac_pre,ID,closest_dist,closest_R,wave_air
3785.650454,0.000149,26415.53974,7273,3785.649743,NoID,1.0253579999998692,3692.0280077792177,3784.5755987472144
3786.675812,0.000129,26408.38692,11987,3786.675314,ThII,0.7825130000001081,4839.121921296485,3785.600690595151
3787.458325,0.00012,26402.93078,24284,3787.457347,ArII,0.7825130000001081,4840.121921296485,3786.3830004724928
3788.714137,0.00016,26394.17923,3050,3788.714472,ThI,0.2953219999999419,12829.095485608066,3787.6384864815673
3791.160081,0.000128,26377.15049,4572,3791.158240,NoID,0.18387299999994866,20618.362027057035,3790.083795511999
3791.871484,0.000113,26372.20181,68571,3791.871327,ThI,0.37518199999976787,10106.752146964262,3790.795013821809
3792.594893,0.000126,26367.17151,4127,3792.594391,ThI,0.22119299999985742,17146.08913031807,3791.518235010429
3793.807442,0.000114,26358.74422,13282,3793.806899,ThI,1.085576000000401,3494.7414478568044,3792.7304691989266
3794.893018,0.000118,26351.20398,4508,3794.893246,ThI,0.33519899999964764,11321.31366144884,3793.8157633429214
3795.775429,0.000112,26345.07807,11036,3795.775842,ThI,0.547211999999945,6936.571984898689,3794.6979452290093
3799.181895,0.000108,26321.45624,25835,3799.182103,ThI,0.6492970000003879,5851.223546385907,3798.1035266962053
3803.499251,0.000107,26291.57873,5237,3803.500326,ThI,0.3015109999996639,12614.794322609258,3802.419761503082
3805.778642,0.000107,26275.83194,3816,3805.778720,ThI,0.5306160000000091,7172.378220784777,3804.698560496915
3808.35348,0.000167,26258.06678,6533,3808.353289,ThI,0.6016429999999673,6329.922362597433,3807.2727297062497
3808.955123,0.000165,26253.91919,12694,3808.955397,ThII,0.254783999999745,14949.74222480145,3807.874216427243
3812.077207,0.000154,26232.41728,28936,3812.077044,ThI,1.1604129999996076,3285.1038440635266,3810.9954894073844
3813.479982,0.000153,26222.76778,6425,3813.479470,ThI,0.6702170000003207,5689.918313021268,3812.397899984699
3814.150199,0.000149,26218.15995,15807,3814.149857,ThII,0.5987479999998868,6370.209502162381,3813.067942865458
3816.648334,0.000151,26200.99921,16088,3816.648904,ThI,0.27442400000018097,13907.851842395283,3815.5654288298806
3816.922758,0.000157,26199.11545,6013,?,,0.27442400000018097,13908.851842395283,3815.8397815292637
3817.249218,0.000101,26196.87484,4692,3817.249705,NoID,0.32645999999976993,11692.85430987775,3816.1661567079113
3819.76899,0.00011,26179.59365,58810,3819.769246,ThI,0.3301489999998921,11569.833590291802,3818.685273988056
3822.515316,0.000111,26160.78465,7361,3822.515221,ThII,0.6386160000001837,5985.624093350151,3821.4308863442034
3824.152211,0.000107,26149.58675,25397,3824.152526,ThI,0.18410700000004,20771.356933735107,3823.067355961848
3825.528478,0.000107,26140.17921,11767,?,,0.45096600000033504,8482.964298854366,3824.443265292779
3826.75799,0.000105,26131.78055,24848,3826.757909,ArII,0.20809800000006362,18389.21080451917,3825.6724577501786
3826.966088,0.000106,26130.35959,8712,?,,0.20809800000006362,18390.21080451917,3825.880501665601
3827.454543,0.000105,26127.02486,18155,3827.454508,ThI,0.4386170000002494,8726.188321469126,3826.3688297150147
3828.908544,0.000108,26117.10331,3463,?,,0.3206809999996949,11939.929537464466,3827.8224528055875
3831.147108,0.000102,26101.84292,15740,3831.147286,ThI,0.3327439999998205,11513.797718372281,3830.0604349476466
3831.479852,0.000122,26099.57611,8120,3831.480499,ArII,0.3327439999998205,11514.797718372281,3830.3930924558986
3834.173244,0.000117,26081.24194,14675,3834.173455,NoID,0.2970190000000912,12908.848403633516,3833.085784317392
3835.310355,0.000474,26073.50925,3760,?,,0.45575800000005984,8415.234301974944,3834.222599711908
3836.79867,0.000123,26063.39519,11988,3836.799316,ThI,0.24880899999971007,15420.65869805542,3835.7105277914034
3841.889593,0.000131,26028.85835,29450,3841.889939,ThI,0.18544199999996636,20717.472810909592,3840.800127161543
3842.608181,0.000135,26023.99081,16354,3842.608006,ArII,0.441906999999901,8695.513266367949,3841.5185283137434
3843.050088,0.000134,26020.99835,14650,3843.049933,ThII,0.441906999999901,8696.513266367949,3841.960320406745
3847.717742,0.000111,25989.43236,5016,3847.717677,ThI,0.20903100000032282,18407.402452239417,3846.6267606055985
3848.710564,0.00011,25982.72807,5818,3848.711167,ThI,0.7322479999997995,5256.020588654464,3847.619324405099
3851.0031,0.000299,25967.26032,5078,3851.003222,ThI,0.2219479999998839,17350.92499144851,3849.911264162295
3853.227582,0.000159,25952.26933,59418,3853.227705,ThI,0.8236769999998614,4678.0808278010045,3852.135167580034
3855.603289,0.000162,25936.27832,17652,3855.603902,ThII,0.3663480000000163,10524.428382302696,3854.510256622263
3864.501293,0.000159,25876.56011,17403,3864.501264,ThII,0.6999989999999343,5520.72401960626,3863.405945728956
3868.004626,0.000113,25853.12317,14044,3868.005444,ThI,0.6294269999998505,6145.279160253562,3866.9083671398703
